id,product,category,sub_category,brand,type,price,image_url,description
1,Freshmatic Automatic Air Freshener Refill - Nagpur Narangi,Cleaning & Household,Fresheners & Repellents,Air wick,Air Freshener,310,https://www.bigbasket.com/media/uploads/p/mm/40145380_2-air-wick-freshmatic-automatic-air-freshener-refill-nagpur-narangi.jpg,"Bring home the freshness of Nagpur Narangi with the fragrance of fresh cut lemons and oranges. Air Wick Freshmatic freshener adds charm to your home by inducing fragrances in the air instantly. The Air Wick Freshmatic device automatically releases bursts of continuous fresh fragrance, so that your home always smells beautiful. Airwick's dual action formula eliminates unpleasant odours and freshens the air instantly by creating a refreshing and rejuvenating experience. One box consists of 1 device, 1 refill and 2N Alkaline batteries. It provides up to 60 days of fragrance (on low setting on the device). Use device along with Air Wick refills (250ml) only to avoid any damages."
2,Pomegranate Vinegar Shampoo 300 ml + Pomegranate Vinegar Conditioner 300 ml,Beauty & Hygiene,Hair Care,Oriental Botanics,Shampoo & Conditioner,1399,https://www.bigbasket.com/media/uploads/p/mm/40174799_3-oriental-botanics-pomegranate-vinegar-shampoo-300-ml-pomegranate-vinegar-conditioner-300-ml.jpg,"Oriental Botanics has unravelled the secrets behind gorgeous hair by incorporating an array of precious botanical ingredients in their hair care products. Hair needs hydration and nourishment to stay healthy. However, chemical-based shampoos deprive the hair of moisture and nutrients, aggravating hair dryness, dandruff and hair fall. All chemicals that entail health risks and could damage the hair follicles are absent in our products. We have used only premium natural ingredients to pamper your tresses.Antioxidant Rich Pomegranate: Pomegranate is an excellent source of antioxidant compounds. Antioxidants protect the hair follicles from free radicals that are generated when your hair is exposed to environmental pollutants and sunlight. We have ensured that the health and function of the hair follicles are preserved by adding pomegranate vinegar and pomegranate extract to our shampoo and conditioner. Cold Pressed Plant Oil: Dry and damaged hair needs extra conditioning that is provided by multiple plant oils extracted through cold-pressed extraction method. Moroccan argan oil, golden virgin jojoba oil, extra virgin olive oil and sweet almond oil present in our shampoo and conditioner strengthen the hair and fight scalp and hair dryness. Botanical Extracts: The nutrient-dense aloe vera, oat, gotu kola, green tea and amla fruit extracts deliver additional nourishment. By using Oriental Botanics shampoo and conditioner, your hair receives everything it needs to stay strong and healthy. Suits all hair types: Pomegranate Vinegar Shampoo & Conditioner are capable of meeting the specific needs of different hair types. They help restore the pH and oil balance of the scalp and hair so that your hair neither feels dry nor greasy. The damaged hair gradually regains its health. Flaunt thick, soft, bouncy, smooth and silky hair by adding Oriental Botanics Shampoo & Conditioner to your daily hair care regimen. Pomegranate Vinegar Shampoo guarantees a luxurious shampooing experience. It leaves hair feeling light and soft. Pomegranate vinegar detoxifies the scalp and removes all traces of product buildup. Its antioxidant constituents nourish the hair follicle."
3,"Stainless Steel Sink Basket, 24 cm","Kitchen, Garden & Pets",Kitchen Accessories,Elephant ,"Strainer, Ladle, Spatula",1590,https://www.bigbasket.com/media/uploads/p/mm/40163270_3-elephant-stainless-steel-sink-basket-24-cm.jpg,"High-End Quality – Quality plays a significant role for any buyer and that’s why we make sure we deliver up to the expectations with one of the finest qualities. This product is made from a high quality stain less steel which is rust free and highly durable.Declutter Countertop - Saves valuable countertop space and helps to avoid water stains on surface areas. It works great as a kitchen sink organizer and can be unrolled above the sink for air-drying. Fold away, or place behind kitchen faucet when not in use. It is easy to clean as well. Wider & Larger - Fits over the sink or on the countertop, offers you more usable working room. The high quality of the product will make it easy and safe to use. One need not waste time in drying out wet things but can leave it in the sink on this drain basket and let it do its work!"
4,Secret Chowmein Hakka Noodles Masala,"Foodgrains, Oil & Masala",Masalas & Spices,Chings,Blended Masalas,10,https://www.bigbasket.com/media/uploads/p/mm/40019457_3-chings-secret-chowmein-hakka-noodles-masala.jpg,"Easy-to-cook Masala Now make India’s favourite Desi Chinese dishes for your family at home! Cook up a different Desi Chinese dish every day with our Chinese Masala pouch. Now make Street Style Chowmein with ease at home, because ' Yeh Tadke wala Hakka Noodles hi Hai!;. Ching’s Desi Chinese Masalas are so perfectly blended that you don’t even need to add any salt, spice or sauce additionally. Cook up your favourite Chowmein with total ease in a few simple steps. Ab jab bhi kare dil, Ching’s Desi Chinese nahin mushkil!"
5,Cold Pressed Groundnut Oil,Gourmet & World Food,Oils & Vinegar,RawNH,Flavoured & Other Oils,299,https://www.bigbasket.com/media/uploads/p/mm/40193730_1-rawnh-cold-pressed-groundnut-oil.jpg,"RawNH cold-pressed oil is extracted using the wooden cold press (Kachi Ghani) and is raw, natural and healthy cooking oil. Its contains zero cholesterol and zero trans fats. Free from chemicals and preservatives. An all-natural product, extracted through sustainable techniques. It is free from preservatives and artificial additives. It is a raw, unrefined and vegan."
6,oriental Instant Noodles - Tom Yam Flavour,Gourmet & World Food,"Pasta, Soup & Noodles",Koka,Imported Noodles,40,https://www.bigbasket.com/media/uploads/p/mm/40047323_3-koka-oriental-instant-noodles-tom-yam-flavour.jpg,"No Preservatives, No Artificial Colouring, No Trans Fat"
7,Ready to Fry - 3D Potato Long Square Tube,Snacks & Branded Foods,Ready To Cook & Eat,Tasties,"Papads, Ready To Fry",55,https://www.bigbasket.com/media/uploads/p/mm/40078618_5-tasties-ready-to-fry-3d-potato-long-square-tube.jpg,Tasties bring you delicious cereal & vegetable based ready-to-fry pellets which come in various shapes and sizes. Its the perfect evening snack or can also be had as a meal time accompaniment.
8,Sambar Onion - Organically Grown,Fruits & Vegetables,Organic Fruits & Vegetables,Fresho,Organic Vegetables,42.5,https://www.bigbasket.com/media/uploads/p/mm/40022637_4-fresho-sambar-onion-organically-grown.jpg,"It Is Organically Grown And Handpicked From Farm  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
9,"Glass Water Bottle With Square Base - Transparent, BB 1360","Kitchen, Garden & Pets",Storage & Accessories,BB Home,Water & Fridge Bottles,449,https://www.bigbasket.com/media/uploads/p/mm/40178737_6-bb-home-glass-water-bottle-with-square-base-transparent-bb-1360.jpg,"A stylish solution for all your homebrews is this elegantly designed bottle. The bottle is designed using high-quality glass, which proves to be solid and offers great finishing. It features a seal cap with a long-neck design for an easier grip. You can store water, juices, brews and more. Keep your drinks fresh and preserve them for a long time."
10,Tooth Brush - Sensitive Whitening (Soft),Beauty & Hygiene,Oral Care,Oral-B,Toothbrush,110,https://www.bigbasket.com/media/uploads/p/s/30008723_9-oral-b-tooth-brush-sensitive-whitening-soft.jpg,Advanced brushing for sensitive teeth and gums. The Oral-B Advantage Sensitive toothbrush has extra-soft Oral-B Comfort Clean bristles that are easy on sensitive gums. The Oral-B Extend Angle brush head and the Power Tip bristles are designed for hard-to-reach areas.
